course_title_en,course_title_fr,course_code,offering_id,offering_status,month_en,month_fr,training_hours,stream_en,stream_fr,topic_en,topic_fr,offering_language,offering_region,reg_num,reg_status,no_show,student_id,learner_classif,billing_dept_code,billing_dept_name_en,billing_dept_name_fr,client
Service Excellence for Citizens (T178),Bon service (T178),T178,59,Delivered - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Québec,2983,Cancelled,0,2633,AS-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,86,Open - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,2984,Confirmed,0,2634,EC-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,35,Delivered - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Atlantic,2985,Confirmed,0,2635,EX-01,CBD,Cannabis Canada,Cannabis Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,137,Open - Normal,December,décembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,NCR,2986,Confirmed,0,2636,EX-01,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,58,Delivered - Normal,September,septembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,2987,Confirmed,0,2637,PM-03,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,95,Open - Normal,September,septembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,Québec,2988,Confirmed,0,2638,EX-01,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,105,Open - Normal,December,décembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,2989,Confirmed,0,2639,EC-02,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,122,Open - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,2990,Cancelled,0,2640,AS-02,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,125,Open - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,2991,Confirmed,0,2641,EC-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,80,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Ontario,2992,Cancelled,0,2642,EC-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,83,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,2993,Cancelled,0,2643,AS-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,91,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,French/Français,NCR,2994,Confirmed,0,2644,AS-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,91,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,French/Français,NCR,2995,Confirmed,0,2645,AS-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,113,Open - Normal,October,octobre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,French/Français,NCR,2996,Confirmed,0,2646,AS-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,149,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,2997,Confirmed,0,2647,EC-06,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,149,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,2998,Confirmed,0,2648,EX-01,CES,Canada School of Public Service,École de la fonction publique du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,149,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,2999,Confirmed,0,2649,EX-01,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,135,Open - Normal,October,octobre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,3000,Confirmed,0,2650,EC-06,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,147,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,NCR,3001,Confirmed,0,2651,PM-03,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,51,Open - Normal,September,septembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Pacific,3002,Confirmed,0,2652,EC-02,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,48,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Ontario,3003,Cancelled,0,1384,AS-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,137,Open - Normal,December,décembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,NCR,3004,Confirmed,0,2653,EC-06,CBD,Cannabis Canada,Cannabis Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,137,Open - Normal,December,décembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,NCR,3005,Confirmed,0,2654,EC-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,138,Open - Normal,October,octobre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,French/Français,NCR,3006,Confirmed,0,1444,EC-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,95,Open - Normal,September,septembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,Québec,3007,Confirmed,0,2655,AS-02,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,106,Open - Normal,September,septembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,3008,Confirmed,0,2656,EC-04,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,53,Delivered - Normal,September,septembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,3009,Confirmed,0,183,AS-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,121,Open - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,3010,Confirmed,0,2657,AS-04,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,79,Open - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,3011,Confirmed,0,2512,EX-01,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,122,Open - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,3012,Cancelled,0,2658,PM-03,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Managing the Transition to GCDOCS: Virtual Classroom (I013),La transition vers GCDocs (I013),I013,111,Open - Normal,September,septembre,6,Specialized,Spécialisé,GCDocs,GCDocs,French/Français,NCR,3013,Cancelled,0,2659,EC-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,91,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,French/Français,NCR,3014,Confirmed,0,658,PM-03,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,114,Open - Normal,March,mars,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,3015,Confirmed,0,2660,EC-06,CES,Canada School of Public Service,École de la fonction publique du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,114,Open - Normal,March,mars,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,3016,Confirmed,0,2661,EC-06,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,35,Delivered - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Atlantic,3017,Cancelled,0,2662,EC-06,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,135,Open - Normal,October,octobre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,3018,Confirmed,0,2663,EC-06,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,137,Open - Normal,December,décembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,NCR,3019,Confirmed,0,967,EC-06,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,58,Delivered - Normal,September,septembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,3020,Cancelled,0,2664,AS-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,58,Delivered - Normal,September,septembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,3021,Confirmed,0,1694,AS-04,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,31,Delivered - Normal,September,septembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,3022,Confirmed,0,2665,EC-06,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,31,Delivered - Normal,September,septembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,3023,Confirmed,0,2666,PM-03,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,71,Cancelled - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Prairie,3024,Cancelled - Class Cancelled,0,2667,PM-03,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,121,Open - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,3025,Confirmed,0,2668,AS-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,129,Open - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,3026,Confirmed,0,2669,EC-06,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,125,Open - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,3027,Confirmed,0,2670,EC-06,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,88,Open - Normal,October,octobre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,3028,Cancelled,0,2389,EC-06,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,96,Open - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Prairie,3029,Confirmed,0,2671,EC-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,149,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,3030,Cancelled,0,2672,AS-04,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,27,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,3031,Confirmed,0,2373,PM-03,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,27,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,3032,Confirmed,0,1335,EX-01,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,27,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,3033,Confirmed,0,106,EC-06,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,66,Open - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,Québec,3034,Cancelled,0,98,EC-06,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,66,Open - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,Québec,3035,Confirmed,0,69,EX-01,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,66,Open - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,Québec,3036,Confirmed,0,2673,PM-03,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,78,Open - Normal,November,novembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,3037,Waitlisted,0,2674,EC-02,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,136,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,NCR,3038,Confirmed,0,2675,EC-02,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,147,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,NCR,3039,Confirmed,0,2676,AS-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,137,Open - Normal,December,décembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,NCR,3040,Confirmed,0,2677,EX-01,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,31,Delivered - Normal,September,septembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,3041,Confirmed,0,2678,AS-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,31,Delivered - Normal,September,septembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,3042,Cancelled,0,2679,EX-01,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,71,Cancelled - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Prairie,3043,Cancelled - Class Cancelled,0,2680,PM-03,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,148,Open - Normal,November,novembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Atlantic,3044,Confirmed,0,2681,EC-06,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,122,Open - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,3045,Confirmed,0,2682,EC-02,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,122,Open - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,3046,Confirmed,0,2683,PM-03,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,122,Open - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,3047,Confirmed,0,2684,EX-01,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,122,Open - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,3048,Confirmed,0,2685,EC-02,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,140,Open - Normal,November,novembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,3049,Confirmed,0,2686,EX-01,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,128,Open - Normal,December,décembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,3050,Confirmed,0,2687,EC-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,80,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Ontario,3051,Confirmed,0,2688,EC-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,83,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,3052,Confirmed,0,2689,EC-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,88,Open - Normal,October,octobre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,3053,Cancelled,0,2690,PM-03,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,113,Open - Normal,October,octobre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,French/Français,NCR,3054,Confirmed,0,2691,PM-03,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,115,Open - Normal,December,décembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,French/Français,NCR,3055,Confirmed,0,2692,AS-02,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,93,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,3056,Cancelled,1,2693,PM-03,CBD,Cannabis Canada,Cannabis Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,93,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,3057,Confirmed,0,2694,AS-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,149,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,3058,Cancelled,0,2695,AS-02,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,66,Open - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,Québec,3059,Confirmed,0,2696,EC-06,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,66,Open - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,Québec,3060,Confirmed,0,2697,EC-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3061,Confirmed,0,2698,AS-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3062,Confirmed,0,2699,AS-04,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3063,Confirmed,0,2700,EC-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3064,Confirmed,0,2609,AS-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3065,Confirmed,0,2701,EC-06,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3066,Confirmed,0,2702,PM-03,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3067,Confirmed,0,2703,AS-02,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3068,Confirmed,0,2704,EC-06,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3069,Confirmed,0,2705,PM-03,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3070,Confirmed,0,2613,PM-03,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3071,Confirmed,0,2706,EC-02,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3072,Confirmed,0,2707,EC-06,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3073,Confirmed,0,2708,EX-01,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3074,Confirmed,0,2709,AS-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3075,Confirmed,0,2610,EC-06,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3076,Confirmed,0,2710,EX-01,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3077,Cancelled,0,2711,EC-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3078,Cancelled,0,2712,EC-02,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,152,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,3079,Cancelled,0,2713,AS-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,153,Open - Normal,January,janvier,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,French/Français,NCR,3080,Confirmed,0,2714,EC-04,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,57,Delivered - Normal,September,septembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,3081,Confirmed,0,2715,EC-06,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,33,Delivered - Normal,August,août,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Atlantic,3082,Cancelled,1,2716,EC-06,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
